time,last,diff,position,thrust,set,loop,update
1520599542527198,0,1520599542527198,0.0,0.0,0.0,86,false
1520599542528215,0,1520599542528215,0.0,0.0,0.0,87,false
1520599542529232,0,1520599542529232,0.0,0.0,0.0,88,false
1520599542530249,0,1520599542530249,0.0,0.0,0.0,89,false
1520599542531266,0,1520599542531266,0.0,0.0,0.0,90,false
1520599542532284,0,1520599542532284,0.0,0.0,0.0,91,false
1520599542533300,0,1520599542533300,0.0,0.0,0.0,92,false
1520599542534317,0,1520599542534317,0.0,0.0,0.0,93,false
1520599542535334,0,1520599542535334,0.0,0.0,0.0,94,false
1520599542536352,0,1520599542536352,0.0,0.0,0.0,95,false
1520599542537371,0,1520599542537371,0.0,0.0,0.0,96,false
1520599542538387,0,1520599542538387,0.0,0.0,0.0,97,false
1520599542539404,0,1520599542539404,0.0,0.0,0.0,98,false
1520599542540421,0,1520599542540421,0.0,0.0,0.0,99,false
1520599542541438,0,1520599542541438,0.0,0.0,0.0,100,false
1520599542542455,0,1520599542542455,0.0,0.0,0.0,101,false
1520599542543472,0,1520599542543472,0.0,0.0,0.0,102,false
1520599542544490,0,1520599542544490,0.0,0.0,0.0,103,false
1520599542545507,0,1520599542545507,0.0,0.0,0.0,104,false
1520599542546523,0,1520599542546523,0.0,0.0,0.0,105,false
1520599542547540,0,1520599542547540,0.0,0.0,0.0,106,false
1520599542548558,0,1520599542548558,0.0,0.0,0.0,107,false
1520599542549576,0,1520599542549576,0.0,0.0,0.0,108,false
1520599542550594,0,1520599542550594,0.0,0.0,0.0,109,false
1520599542551610,0,1520599542551610,0.0,0.0,0.0,110,false
1520599542552628,0,1520599542552628,0.0,0.0,0.0,111,false
1520599542553646,0,1520599542553646,0.0,0.0,0.0,112,false
1520599542554662,0,1520599542554662,0.0,0.0,0.0,113,false
1520599542555680,0,1520599542555680,0.0,0.0,0.0,114,false
1520599542556697,0,1520599542556697,0.0,0.0,0.0,115,false
1520599542557714,0,1520599542557714,0.0,0.0,0.0,116,false
1520599542558732,0,1520599542558732,0.0,0.0,0.0,117,false
1520599542559749,0,1520599542559749,0.0,0.0,0.0,118,false
1520599542560767,0,1520599542560767,0.0,0.0,0.0,119,false
1520599542561784,0,1520599542561784,0.0,0.0,0.0,120,false
1520599542562801,0,1520599542562801,0.0,0.0,0.0,121,false
1520599542563818,0,1520599542563818,0.0,0.0,0.0,122,false
1520599542564836,0,1520599542564836,0.0,0.0,0.0,123,false
1520599542565854,0,1520599542565854,0.0,0.0,0.0,124,false
1520599542566871,0,1520599542566871,0.0,0.0,0.0,125,false
1520599542567888,0,1520599542567888,0.0,0.0,0.0,126,false
1520599542568906,0,1520599542568906,0.0,0.0,0.0,127,false
1520599542569924,0,1520599542569924,0.0,0.0,0.0,128,false
1520599542570941,0,1520599542570941,0.0,0.0,0.0,129,false
1520599542571958,0,1520599542571958,0.0,0.0,0.0,130,false
1520599542572986,0,1520599542572986,0.0,0.0,0.0,131,false
1520599542573992,0,1520599542573992,0.0,0.0,0.0,132,false
1520599542575011,0,1520599542575011,0.0,0.0,0.0,133,false
1520599542576028,0,1520599542576028,0.0,0.0,0.0,134,false
1520599542577055,0,1520599542577055,0.0,0.0,0.0,135,false
1520599542578062,0,1520599542578062,0.0,0.0,0.0,136,false
1520599542579080,0,1520599542579080,0.0,0.0,0.0,137,false
1520599542580097,0,1520599542580097,0.0,0.0,0.0,138,false
1520599542581114,0,1520599542581114,0.0,0.0,0.0,139,false
1520599542582132,0,1520599542582132,0.0,0.0,0.0,140,false
1520599542583149,0,1520599542583149,0.0,0.0,0.0,141,false
1520599542584166,0,1520599542584166,0.0,0.0,0.0,142,false
1520599542585183,0,1520599542585183,0.0,0.0,0.0,143,false
1520599542586201,0,1520599542586201,0.0,0.0,0.0,144,false
1520599542587217,0,1520599542587217,0.0,0.0,0.0,145,false
1520599542588234,0,1520599542588234,0.0,0.0,0.0,146,false
1520599542589252,0,1520599542589252,0.0,0.0,0.0,147,false
1520599542590268,0,1520599542590268,0.0,0.0,0.0,148,false
1520599542591285,0,1520599542591285,0.0,0.0,0.0,149,false
1520599542592303,0,1520599542592303,0.0,0.0,0.0,150,false
1520599542593319,0,1520599542593319,0.0,0.0,0.0,151,false
1520599542594336,0,1520599542594336,0.0,0.0,0.0,152,false
1520599542595353,0,1520599542595353,0.0,0.0,0.0,153,false
1520599542596370,0,1520599542596370,0.0,0.0,0.0,154,false
1520599542597387,0,1520599542597387,0.0,0.0,0.0,155,false
1520599542598404,0,1520599542598404,0.0,0.0,0.0,156,false
1520599542599421,0,1520599542599421,0.0,0.0,0.0,157,false
1520599542600438,0,1520599542600438,0.0,0.0,0.0,158,false
1520599542601455,0,1520599542601455,0.0,0.0,0.0,159,false
1520599542602473,0,1520599542602473,0.0,0.0,0.0,160,false
1520599542603490,0,1520599542603490,0.0,0.0,0.0,161,false
1520599542604506,0,1520599542604506,0.0,0.0,0.0,162,false
1520599542605523,0,1520599542605523,0.0,0.0,0.0,163,false
1520599542606540,0,1520599542606540,0.0,0.0,0.0,164,false
1520599542607557,0,1520599542607557,0.0,0.0,0.0,165,false
1520599542608574,0,1520599542608574,0.0,0.0,0.0,166,false
1520599542609594,0,1520599542609594,0.0,0.0,0.0,167,false
1520599542610610,0,1520599542610610,0.0,0.0,0.0,168,false
1520599542611628,0,1520599542611628,0.0,0.0,0.0,169,false
1520599542612646,0,1520599542612646,0.0,0.0,0.0,170,false
1520599542613667,0,1520599542613667,0.0,0.0,0.0,171,false
1520599542614682,0,1520599542614682,0.0,0.0,0.0,172,false
1520599542615699,0,1520599542615699,0.0,0.0,0.0,173,false
1520599542616717,0,1520599542616717,0.0,0.0,0.0,174,false
1520599542617735,0,1520599542617735,0.0,0.0,0.0,175,false
1520599542618752,0,1520599542618752,0.0,0.0,0.0,176,false
1520599542619769,0,1520599542619769,0.0,0.0,0.0,177,false
1520599542620786,0,1520599542620786,0.0,0.0,0.0,178,false
1520599542621807,0,1520599542621807,0.0,0.0,0.0,179,false
1520599542622821,0,1520599542622821,0.0,0.0,0.0,180,false
1520599542623838,0,1520599542623838,0.0,0.0,0.0,181,false
1520599542624854,0,1520599542624854,0.0,0.0,0.0,182,false
1520599542625873,0,1520599542625873,0.0,0.0,0.0,183,false
