time,clock,sleep,execute,overrun,type
1520599537364051,1000,887,112,0,1
1520599537364062,1000,887,112,0,2
1520599537364076,1000,887,112,0,3
1520599537364077,1000,887,112,0,4
1520599537364981,1000,888,111,0,0
1520599537365066,1000,888,111,0,1
1520599537365077,1000,888,111,0,2
1520599537365092,1000,888,111,0,3
1520599537365093,1000,888,111,0,4
1520599537365997,1000,887,112,0,0
1520599537366082,1000,887,112,0,1
1520599537366094,1000,887,112,0,2
1520599537366108,1000,887,112,0,3
1520599537366109,1000,887,112,0,4
1520599537367013,1000,887,112,0,0
1520599537367099,1000,887,112,0,1
1520599537367110,1000,887,112,0,2
1520599537367124,1000,887,112,0,3
1520599537367125,1000,887,112,0,4
1520599537368029,1000,887,112,0,0
1520599537368115,1000,887,112,0,1
1520599537368126,1000,887,112,0,2
1520599537368141,1000,887,112,0,3
1520599537368141,1000,887,112,0,4
1520599537369043,1000,886,113,0,0
1520599537369129,1000,886,113,0,1
1520599537369140,1000,886,113,0,2
1520599537369155,1000,886,113,0,3
1520599537369156,1000,886,113,0,4
1520599537370059,1000,887,112,0,0
1520599537370146,1000,887,112,0,1
1520599537370156,1000,887,112,0,2
1520599537370170,1000,887,112,0,3
1520599537370171,1000,887,112,0,4
1520599537371075,1000,887,112,0,0
1520599537371161,1000,887,112,0,1
1520599537371172,1000,887,112,0,2
1520599537371187,1000,887,112,0,3
1520599537371188,1000,887,112,0,4
1520599537372091,1000,887,112,0,0
1520599537372177,1000,887,112,0,1
1520599537372188,1000,887,112,0,2
1520599537372203,1000,887,112,0,3
1520599537372203,1000,887,112,0,4
1520599537373106,1000,887,112,0,0
1520599537373193,1000,887,112,0,1
1520599537373204,1000,887,112,0,2
1520599537373218,1000,887,112,0,3
1520599537373219,1000,887,112,0,4
1520599537374122,1000,886,113,0,0
1520599537374208,1000,886,113,0,1
1520599537374219,1000,886,113,0,2
1520599537374234,1000,886,113,0,3
1520599537374234,1000,886,113,0,4
1520599537375138,1000,887,112,0,0
1520599537375224,1000,887,112,0,1
1520599537375235,1000,887,112,0,2
1520599537375249,1000,887,112,0,3
1520599537375250,1000,887,112,0,4
1520599537376154,1000,887,112,0,0
1520599537376240,1000,887,112,0,1
1520599537376251,1000,887,112,0,2
1520599537376265,1000,887,112,0,3
1520599537376266,1000,887,112,0,4
1520599537377168,1000,887,112,0,0
1520599537377255,1000,887,112,0,1
1520599537377266,1000,887,112,0,2
1520599537377281,1000,887,112,0,3
1520599537377281,1000,887,112,0,4
1520599537378184,1000,886,113,0,0
1520599537378270,1000,886,113,0,1
1520599537378281,1000,886,113,0,2
1520599537378295,1000,886,113,0,3
1520599537378296,1000,886,113,0,4
1520599537379200,1000,887,112,0,0
1520599537379285,1000,887,112,0,1
1520599537379296,1000,887,112,0,2
1520599537379311,1000,887,112,0,3
1520599537379311,1000,887,112,0,4
1520599537380216,1000,888,111,0,0
1520599537380302,1000,888,111,0,1
1520599537380325,1000,888,111,0,2
1520599537380340,1000,888,111,0,3
1520599537380341,1000,888,111,0,4
1520599537381231,1000,874,125,0,0
1520599537381318,1000,874,125,0,1
1520599537381329,1000,874,125,0,2
1520599537381344,1000,874,125,0,3
1520599537381344,1000,874,125,0,4
1520599537382247,1000,886,113,0,0
1520599537382333,1000,886,113,0,1
1520599537382344,1000,886,113,0,2
1520599537382358,1000,886,113,0,3
1520599537382359,1000,886,113,0,4
1520599537383263,1000,887,112,0,0
1520599537383349,1000,887,112,0,1
1520599537383360,1000,887,112,0,2
1520599537383375,1000,887,112,0,3
1520599537383375,1000,887,112,0,4
1520599537384279,1000,887,112,0,0
1520599537384365,1000,887,112,0,1
1520599537384376,1000,887,112,0,2
1520599537384391,1000,887,112,0,3
1520599537384392,1000,887,112,0,4
1520599537385294,1000,887,112,0,0
1520599537385380,1000,887,112,0,1
1520599537385391,1000,887,112,0,2
1520599537385406,1000,887,112,0,3
1520599537385406,1000,887,112,0,4
1520599537386311,1000,875,124,0,0
1520599537386397,1000,875,124,0,1
1520599537386408,1000,875,124,0,2
1520599537386423,1000,875,124,0,3
1520599537386423,1000,875,124,0,4
1520599537387327,1000,886,113,0,0
1520599537387412,1000,886,113,0,1
