i,time,sleep,duration,overruns
199,1711893193470383,9989,10,0
200,1711893193480387,9989,10,0
201,1711893193490391,9989,10,0
202,1711893193500395,9989,10,0
203,1711893193510399,9989,10,0
204,1711893193520403,9989,10,0
205,1711893193530407,9989,10,0
206,1711893193540410,9989,10,0
207,1711893193550414,9989,10,0
208,1711893193560418,9989,10,0
209,1711893193570422,9989,10,0
210,1711893193580426,9989,10,0
211,1711893193590430,9989,10,0
212,1711893193600434,9989,10,0
213,1711893193610438,9989,10,0
214,1711893193620442,9989,10,0
215,1711893193630446,9989,10,0
216,1711893193640449,9989,10,0
217,1711893193650453,9989,10,0
218,1711893193660457,9989,10,0
219,1711893193670461,9988,11,0
220,1711893193680466,9989,10,0
221,1711893193690469,9989,10,0
222,1711893193700473,9989,10,0
223,1711893193710478,9989,10,0
224,1711893193720481,9989,10,0
225,1711893193730485,9989,10,0
226,1711893193740489,9989,10,0
227,1711893193750493,9989,10,0
228,1711893193760497,9989,10,0
229,1711893193770500,9989,10,0
230,1711893193780505,9989,10,0
231,1711893193790509,9989,10,0
232,1711893193800513,9989,10,0
233,1711893193810517,9989,10,0
234,1711893193820521,9989,10,0
235,1711893193830524,9989,10,0
236,1711893193840528,9989,10,0
237,1711893193850532,9989,10,0
238,1711893193860536,9989,10,0
239,1711893193870539,9989,10,0
240,1711893193880544,9989,10,0
241,1711893193890548,9989,10,0
242,1711893193900552,9989,10,0
243,1711893193910556,9989,10,0
244,1711893193920560,9989,10,0
245,1711893193930563,9989,10,0
246,1711893193940567,9989,10,0
247,1711893193950571,9989,10,0
248,1711893193960575,9989,10,0
249,1711893193970579,9989,10,0
250,1711893193980584,9989,10,0
251,1711893193990588,9989,10,0
252,1711893194000591,9990,9,0
253,1711893194010596,9989,10,0
254,1711893194020599,9989,10,0
255,1711893194030603,9989,10,0
256,1711893194040607,9989,10,0
257,1711893194050615,9981,18,0
258,1711893194060619,9985,14,0
259,1711893194070624,9989,10,0
260,1711893194080630,9989,10,0
261,1711893194090634,9989,10,0
262,1711893194100638,9989,10,0
263,1711893194110641,9989,10,0
264,1711893194120645,9989,10,0
265,1711893194130649,9989,10,0
266,1711893194140652,9989,10,0
267,1711893194150656,9989,10,0
268,1711893194160660,9989,10,0
269,1711893194170663,9989,10,0
270,1711893194180668,9989,10,0
271,1711893194190672,9990,9,0
272,1711893194200676,9989,10,0
273,1711893194210679,9989,10,0
274,1711893194220683,9989,10,0
275,1711893194230686,9989,10,0
276,1711893194240690,9989,10,0
277,1711893194250694,9989,10,0
278,1711893194260697,9989,10,0
279,1711893194270701,9989,10,0
280,1711893194280705,9989,10,0
281,1711893194290709,9989,10,0
282,1711893194300713,9989,10,0
283,1711893194310716,9989,10,0
284,1711893194320720,9990,9,0
285,1711893194330724,9989,10,0
286,1711893194340727,9989,10,0
287,1711893194350731,9989,10,0
288,1711893194360734,9989,10,0
289,1711893194370738,9989,10,0
290,1711893194380743,9989,10,0
291,1711893194390746,9989,10,0
292,1711893194400750,9989,10,0
293,1711893194410753,9989,10,0
294,1711893194420757,9989,10,0
295,1711893194430760,9989,10,0
296,1711893194440764,9990,9,0
297,1711893194450768,9989,10,0
298,1711893194460771,9989,10,0
299,1711893194470775,9989,10,0
300,1711893194480780,9989,10,0
301,1711893194490783,9989,10,0
302,1711893194500787,9989,10,0
303,1711893194510790,9989,10,0
304,1711893194520794,9989,10,0
305,1711893194530798,9989,10,0
306,1711893194540801,9989,10,0
307,1711893194550805,9989,10,0
308,1711893194560808,9989,10,0
309,1711893194570812,9989,10,0
310,1711893194580817,9989,10,0
311,1711893194590821,9989,10,0
312,1711893194600824,9989,10,0
313,1711893194610828,9989,10,0
314,1711893194620831,9989,10,0
315,1711893194630835,9989,10,0
316,1711893194640839,9989,10,0
317,1711893194650842,9989,10,0
318,1711893194660846,9989,10,0
319,1711893194670850,9989,10,0
320,1711893194680854,9989,10,0
321,1711893194690858,9989,10,0
322,1711893194700862,9989,10,0
323,1711893194710865,9989,10,0
324,1711893194720869,9989,10,0
325,1711893194730872,9989,10,0
326,1711893194740876,9989,10,0
327,1711893194750880,9989,10,0
328,1711893194760883,9989,10,0
329,1711893194770887,9989,10,0
330,1711893194780894,9989,10,0
331,1711893194790901,9986,13,0
332,1711893194800905,9987,12,0
333,1711893194810909,9989,10,0
334,1711893194820912,9989,10,0
335,1711893194830916,9989,10,0
336,1711893194840919,9989,10,0
337,1711893194850923,9989,10,0
338,1711893194860927,9989,10,0
339,1711893194870930,9989,10,0
340,1711893194880936,9989,10,0
341,1711893194890939,9989,10,0
342,1711893194900943,9989,10,0
343,1711893194910946,9989,10,0
344,1711893194920950,9989,10,0
345,1711893194930954,9989,10,0
346,1711893194940957,9989,10,0
347,1711893194950961,9989,10,0
348,1711893194960964,9989,10,0
349,1711893194970968,9989,10,0
350,1711893194980972,9989,10,0
351,1711893194990977,9989,10,0
352,1711893195000980,9989,10,0
353,1711893195010984,9989,10,0
354,1711893195020987,9989,10,0
355,1711893195030991,9989,10,0
356,1711893195040995,9989,10,0
