index,time,sleep,duration,overruns
0,1712169378787180,0,0,0
1,1712169378788185,996,3,0
2,1712169378789188,998,1,0
3,1712169378790192,998,1,0
4,1712169378791195,998,1,0
5,1712169378792199,998,1,0
6,1712169378793202,998,1,0
7,1712169378794205,998,1,0
8,1712169378795209,998,1,0
9,1712169378796212,998,1,0
10,1712169378797215,998,1,0
11,1712169378798218,998,1,0
12,1712169378799222,998,1,0
13,1712169378800225,998,1,0
14,1712169378801229,998,1,0
15,1712169378802232,998,1,0
16,1712169378803235,998,1,0
17,1712169378804239,998,1,0
18,1712169378805242,998,1,0
19,1712169378806245,998,1,0
20,1712169378807249,998,1,0
21,1712169378808252,998,1,0
22,1712169378809255,998,1,0
23,1712169378810259,998,1,0
24,1712169378811262,998,1,0
25,1712169378812265,998,1,0
26,1712169378813269,998,1,0
27,1712169378814272,998,1,0
28,1712169378815275,998,1,0
29,1712169378816279,998,1,0
30,1712169378817282,998,1,0
31,1712169378818285,998,1,0
32,1712169378819289,998,1,0
33,1712169378820292,998,1,0
34,1712169378821295,998,1,0
35,1712169378822298,998,1,0
36,1712169378823302,998,1,0
37,1712169378824305,998,1,0
38,1712169378825309,998,1,0
39,1712169378826312,998,1,0
40,1712169378827315,998,1,0
41,1712169378828319,998,1,0
42,1712169378829322,998,1,0
43,1712169378830325,998,1,0
44,1712169378831329,998,1,0
45,1712169378832332,998,1,0
46,1712169378833335,998,1,0
47,1712169378834339,998,1,0
48,1712169378835342,998,1,0
49,1712169378836345,998,1,0
50,1712169378837349,998,1,0
51,1712169378838352,998,1,0
52,1712169378839355,998,1,0
53,1712169378840358,998,1,0
54,1712169378841362,998,1,0
55,1712169378842365,998,1,0
56,1712169378843369,998,1,0
57,1712169378844372,998,1,0
58,1712169378845375,998,1,0
59,1712169378846378,998,1,0
60,1712169378847382,998,1,0
61,1712169378848385,998,1,0
62,1712169378849388,998,1,0
63,1712169378850392,998,1,0
64,1712169378851395,998,1,0
65,1712169378852398,998,1,0
66,1712169378853402,998,1,0
67,1712169378854406,998,1,0
68,1712169378855409,998,1,0
69,1712169378856412,998,1,0
70,1712169378857416,998,1,0
71,1712169378858419,998,1,0
72,1712169378859423,998,1,0
73,1712169378860426,998,1,0
74,1712169378861429,998,1,0
75,1712169378862433,998,1,0
76,1712169378863436,998,1,0
77,1712169378864440,998,1,0
78,1712169378865443,998,1,0
79,1712169378866446,998,1,0
80,1712169378867450,998,1,0
81,1712169378868453,998,1,0
82,1712169378869456,998,1,0
83,1712169378870459,998,1,0
84,1712169378871463,998,1,0
