time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000000,000000,000000,000000
000011,000000,000000,000000,000000
000012,000000,000000,000000,000011
000013,000000,000002,000000,000094
000014,000005,000045,000000,000405
000015,000023,000203,000000,000805
000016,000097,000726,000001,001293
000017,000332,001336,000004,002021
000018,000719,002098,000006,003104
000019,001305,002843,000011,004014
000020,002130,003932,000016,005271
000021,002736,005486,000018,006212
000022,003408,007440,000043,007643
000023,004233,010310,000058,010713
000024,005620,014002,000127,016246
000025,007546,018392,000192,022952
000026,010203,023629,000293,030160
000027,013108,030520,000473,034806
000028,015834,035757,000706,037911
000029,019492,042960,001055,041286
000030,025266,061530,001521,045436
000031,033179,083621,002042,052477
000032,044043,099303,002603,065134
000033,055011,120055,003000,082431
000034,064265,148155,003131,100722
000035,070794,177604,004044,113978
000036,066928,208535,005888,120270
000037,070656,235763,007507,120344
000038,090407,255942,009330,115693
000039,109728,263950,011031,109691
000040,130029,258345,013774,103974
000041,154762,239126,017489,103096
000042,173796,211730,022598,104971
000043,183195,176048,027720,103126
000044,185448,139245,034020,096807
000045,185986,106141,039458,111193
000046,190172,080784,043609,135399
000047,195191,061879,047744,144342
000048,200648,049314,052290,147501
000049,201087,040421,056756,147765
000050,195747,032068,060944,140770
000051,181752,024590,065534,128188
000052,158786,023424,068277,114033
000053,129878,024562,070243,099985
000054,098723,021921,070737,087414
000055,070257,020286,067535,076995
000056,047038,019986,055942,068765
000057,031758,020004,055053,061482
000058,019846,019981,062977,056264
000059,014761,020126,062389,051943
000060,014242,020405,061595,048750
000061,013204,019744,060372,045749
000062,012042,018179,059670,043635
000063,011324,016286,059639,037988
000064,010562,014333,059919,032498
000065,009566,011712,061867,025372
000066,008529,009918,063553,018821
000067,007551,008244,066273,017067
000068,006613,006471,068493,016192
000069,005726,005018,071127,013354
000070,004952,003831,075309,011178
000071,004380,002879,078926,009054
000072,003787,002157,082536,007363
000073,003187,001444,087305,005801
000074,002556,001182,090356,004936
000075,002080,001130,092750,003999
000076,001586,000927,093744,003314
000077,001272,000762,094099,002666
000078,001013,000663,078486,002272
000079,000733,000637,074811,001842
000080,000558,000592,086859,001383
000081,000396,000544,089202,001201
000082,000406,000569,088971,000977
000083,000399,000512,086593,000796
000084,000317,000420,083093,000645
000085,000302,000409,077813,000639
000086,000267,000331,071119,000463
000087,000217,000328,064871,000366
000088,000220,000279,058733,000306
000089,000191,000231,053099,000284
000090,000182,000216,047444,000263
000091,000197,000177,041814,000281
000092,000177,000163,036393,000208
000093,000147,000139,031681,000194
000094,000148,000108,027727,000190
000095,000127,000097,024028,000146
000096,000117,000094,020797,000114
000097,000120,000100,017870,000112
000098,000122,000099,013869,000114
000099,000109,000094,010864,000102
000100,000086,000071,006837,000087
000101,000084,000073,005999,000096
000102,000073,000078,005218,000090
000103,000069,000064,004156,000072
000104,000050,000069,003143,000072
000105,000078,000059,002323,000077
000106,000071,000053,001702,000056
000107,000053,000050,001271,000062
000108,000064,000052,000998,000066
000109,000061,000048,000699,000054
000110,000043,000050,000587,000042
000111,000053,000045,000456,000037
000112,000047,000054,000371,000053
000113,000053,000053,000306,000056
000114,000040,000050,000232,000060
000115,000044,000055,000207,000049
000116,000051,000043,000152,000051
000117,000046,000047,000102,000048
000118,000042,000038,000075,000055
000119,000039,000053,000080,000034
000120,000036,000044,000067,000055
000121,000033,000034,000087,000049
000122,000022,000040,000049,000039
000123,000044,000030,000045,000033
000124,000039,000038,000025,000032
000125,000028,000035,000054,000040
000126,000023,000028,000033,000026
000127,000035,000036,000036,000029
000128,000025,000039,000040,000018
000129,000036,000036,000031,000021
000130,000024,000029,000037,000030
000131,000032,000027,000028,000018
000132,000030,000029,000033,000016
000133,000030,000025,000018,000020
000134,000025,000027,000027,000014
000135,000024,000020,000025,000012
000136,000024,000023,000024,000021
000137,000026,000022,000023,000013
000138,000019,000029,000021,000015
000139,000023,000020,000020,000016
000140,000019,000016,000020,000020
000141,000016,000015,000019,000011
000142,000018,000029,000010,000016
000143,000017,000019,000008,000011
000144,000021,000020,000021,000012
000145,000009,000014,000011,000015
000146,000015,000021,000022,000014
000147,000015,000014,000012,000009
000148,000016,000015,000020,000016
000149,000008,000014,000014,000016
000150,000018,000014,000017,000013
000151,000010,000018,000016,000014
000152,000012,000016,000015,000011
000153,000011,000018,000018,000012
000154,000017,000013,000014,000006
000155,000015,000014,000012,000012
000156,000010,000017,000014,000018
000157,000015,000017,000018,000012
000158,000010,000012,000016,000014
000159,000020,000012,000020,000025
000160,000011,000009,000012,000013
000161,000022,000012,000019,000011
000162,000018,000018,000013,000010
000163,000011,000010,000011,000014
000164,000017,000014,000011,000009
000165,000016,000013,000006,000014
000166,000009,000016,000014,000013
000167,000018,000011,000013,000019
000168,000014,000018,000012,000014
000169,000013,000013,000006,000013
000170,000009,000013,000018,000018
