time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000000,000000,000000,000000
000011,000330,000122,000247,000177
000012,004974,002260,001138,005246
000013,011222,009058,002833,007969
000014,013520,009917,003242,019527
000015,021696,015791,003194,042481
000016,035674,031027,005354,061428
000017,052612,047466,011790,066520
000018,068214,060988,023431,068270
000019,081519,071952,037221,074793
000020,090444,080982,051529,088864
000021,099841,090614,061349,101600
000022,113424,097428,068352,109029
000023,132901,112365,076957,124727
000024,171174,131265,085333,163888
000025,243439,148736,092247,218721
000026,340822,173024,100121,260123
000027,455923,209399,117228,278518
000028,597596,256474,143589,278454
000029,688838,303461,164083,284433
000030,725640,341699,193167,313499
000031,702923,372316,231050,376201
000032,626226,409002,261190,463648
000033,511708,433864,274103,542023
000034,391005,479805,279369,587703
000035,274403,549470,286254,583631
000036,179688,574475,298114,528264
000037,109713,534557,305378,434586
000038,072802,454911,331893,324915
000039,054185,348007,387047,227368
000040,041355,240993,414025,160226
000041,035986,158600,419364,112636
000042,032590,102190,416140,076917
000043,030894,068537,393005,052550
000044,029196,047007,355070,037048
000045,026713,036557,306406,026808
000046,023788,032699,253062,019525
000047,020459,026665,200337,015728
000048,015642,022850,144353,012214
000049,013031,019246,108036,009311
000050,010549,015961,081026,006954
000051,007997,012804,056975,005357
000052,005977,010325,040999,004153
000053,004500,008222,028790,003027
000054,003190,006512,020638,002367
000055,002522,004652,014587,001782
000056,001898,003621,011066,001441
000057,001541,003013,008264,001094
000058,001243,002421,005903,000875
000059,000904,001911,003968,000697
000060,000802,001652,002892,000592
000061,000702,001337,002138,000518
000062,000638,001130,001616,000401
000063,000564,000989,001143,000374
000064,000505,000856,000948,000341
000065,000500,000867,000772,000299
000066,000392,000678,000610,000224
000067,000340,000596,000529,000234
000068,000325,000639,000455,000215
000069,000309,000626,000416,000206
000070,000258,000580,000332,000213
000071,000230,000572,000290,000159
000072,000265,000493,000282,000144
000073,000204,000465,000258,000146
000074,000212,000427,000213,000136
000075,000210,000402,000163,000131
000076,000172,000368,000164,000106
000077,000217,000315,000147,000121
000078,000186,000317,000139,000117
000079,000179,000315,000129,000104
000080,000175,000274,000123,000097
000081,000175,000251,000098,000095
000082,000176,000254,000083,000087
000083,000159,000221,000072,000099
000084,000186,000208,000094,000092
000085,000175,000189,000098,000094
000086,000153,000159,000074,000088
000087,000135,000148,000072,000092
000088,000135,000138,000064,000103
000089,000120,000122,000060,000082
000090,000113,000099,000079,000091
000091,000110,000097,000062,000071
000092,000088,000101,000070,000083
000093,000098,000099,000052,000087
000094,000092,000080,000046,000078
000095,000088,000071,000039,000075
000096,000079,000089,000049,000069
000097,000081,000068,000055,000053
000098,000087,000072,000046,000055
000099,000078,000082,000036,000054
000100,000083,000075,000045,000044
000101,000080,000064,000043,000044
000102,000077,000065,000037,000049
000103,000103,000065,000032,000047
000104,000086,000072,000035,000052
000105,000076,000064,000038,000046
000106,000075,000065,000027,000035
000107,000086,000066,000021,000039
000108,000081,000064,000023,000035
000109,000091,000074,000022,000033
000110,000076,000077,000028,000034
000111,000079,000052,000023,000029
000112,000064,000069,000028,000025
000113,000052,000064,000029,000031
000114,000060,000066,000021,000029
000115,000054,000057,000027,000040
000116,000048,000070,000031,000020
000117,000050,000068,000019,000024
000118,000053,000056,000024,000022
000119,000043,000058,000018,000026
000120,000033,000046,000033,000025
000121,000033,000053,000022,000029
000122,000042,000042,000016,000020
000123,000031,000050,000020,000033
000124,000036,000047,000026,000022
000125,000034,000039,000019,000024
000126,000047,000037,000024,000024
000127,000029,000044,000010,000040
000128,000043,000035,000032,000017
000129,000032,000038,000019,000034
000130,000045,000028,000034,000017
000131,000029,000038,000015,000025
000132,000022,000027,000018,000024
000133,000036,000024,000026,000027
000134,000027,000022,000019,000013
000135,000025,000037,000021,000030
000136,000020,000033,000017,000030
000137,000027,000033,000017,000029
000138,000029,000028,000027,000032
000139,000027,000028,000017,000024
000140,000028,000047,000025,000028
000141,000023,000023,000027,000039
000142,000028,000021,000022,000023
000143,000036,000020,000030,000037
000144,000025,000017,000031,000023
000145,000021,000026,000024,000025
000146,000021,000022,000024,000025
000147,000030,000022,000026,000025
000148,000023,000022,000021,000031
000149,000028,000026,000018,000021
000150,000021,000014,000020,000024
000151,000025,000021,000029,000030
000152,000033,000022,000025,000023
000153,000023,000024,000021,000025
000154,000034,000030,000024,000023
000155,000037,000027,000022,000027
000156,000016,000021,000027,000036
000157,000020,000021,000026,000029
000158,000025,000020,000025,000027
000159,000028,000026,000029,000022
000160,000018,000025,000036,000026
000161,000024,000028,000024,000020
000162,000032,000032,000030,000024
000163,000025,000023,000026,000032
000164,000020,000022,000024,000025
000165,000032,000028,000023,000024
000166,000022,000031,000042,000033
000167,000025,000025,000020,000023
000168,000023,000019,000024,000021
000169,000022,000031,000031,000028
000170,000035,000021,000030,000025
