time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000000,000000,000000,000000
000011,000000,000001,000000,000002
000012,000005,000755,000129,000471
000013,000021,005598,000160,002341
000014,000179,013991,000395,008503
000015,001458,015270,000996,021320
000016,005898,016740,001853,029006
000017,013317,024011,002892,029668
000018,021363,035716,004839,028052
000019,025909,053763,007981,032612
000020,030476,080346,011641,047002
000021,038721,105179,016142,071630
000022,054900,125831,022071,098066
000023,078893,145803,030335,118913
000024,107364,188525,041799,140133
000025,137901,257183,056486,165919
000026,168827,329189,075020,207688
000027,198827,366337,095436,264862
000028,235984,362748,117573,327838
000029,284503,331060,139415,385372
000030,325208,299320,164151,428803
000031,355960,282536,196386,436086
000032,363325,307366,229008,447094
000033,367793,352372,261040,472132
000034,376860,394964,288127,499289
000035,400445,437032,298323,515791
000036,437363,449196,294440,512783
000037,470615,433575,309639,469088
000038,464144,391172,339618,396801
000039,422698,332756,340396,309747
000040,406054,266970,344228,222887
000041,352402,202746,356514,147918
000042,278537,139500,370649,090496
000043,204578,102062,379304,055642
000044,140951,078268,372782,036886
000045,093466,055648,349727,026526
000046,061203,040503,303629,019491
000047,042594,029733,240897,015800
000048,031706,022234,207412,013133
000049,024810,017239,186472,011137
000050,019743,013526,149618,009607
000051,017313,010978,118788,008216
000052,015758,009193,095317,007290
000053,013366,007212,075545,006172
000054,011690,006184,058271,005007
000055,009598,005761,044518,004552
000056,008149,005276,033448,004366
000057,007056,004780,025127,004053
000058,006234,004359,019619,003829
000059,005426,004051,016326,003533
000060,004883,004034,014294,003634
000061,004172,003848,012220,003375
000062,004194,003752,010463,003273
000063,004380,003331,008929,003200
000064,004276,002933,007874,002975
000065,004151,002522,006903,002651
000066,004020,002289,006151,002280
000067,003868,002051,005460,002246
000068,003632,001727,004886,002059
000069,003431,001436,004019,001788
000070,003076,001132,003499,001470
000071,002734,000938,003285,001198
000072,002175,000732,002841,001032
000073,001900,000575,002431,000746
000074,001774,000498,002112,000606
000075,001477,000367,001723,000426
000076,001180,000322,001396,000325
000077,000954,000275,001208,000272
000078,000711,000237,000981,000234
000079,000518,000199,000757,000146
000080,000405,000157,000628,000133
000081,000294,000164,000468,000110
000082,000224,000135,000437,000095
000083,000184,000113,000329,000080
000084,000138,000103,000271,000063
000085,000116,000106,000208,000068
000086,000094,000080,000177,000072
000087,000076,000077,000151,000053
000088,000062,000076,000132,000053
000089,000061,000076,000118,000075
000090,000060,000079,000088,000067
000091,000069,000096,000085,000064
000092,000068,000068,000078,000049
000093,000056,000069,000065,000050
000094,000048,000066,000053,000057
000095,000048,000046,000058,000063
000096,000062,000064,000054,000055
000097,000059,000068,000050,000065
000098,000060,000042,000043,000051
000099,000053,000043,000039,000056
000100,000050,000045,000042,000049
000101,000050,000037,000041,000039
000102,000052,000030,000040,000036
000103,000047,000041,000026,000057
000104,000042,000026,000029,000042
000105,000028,000027,000022,000057
000106,000037,000026,000024,000053
000107,000030,000028,000025,000049
000108,000028,000024,000018,000047
000109,000035,000015,000024,000040
000110,000028,000017,000015,000032
000111,000025,000015,000014,000046
000112,000018,000009,000018,000028
000113,000033,000011,000016,000038
000114,000019,000013,000011,000031
000115,000013,000004,000009,000036
000116,000012,000008,000011,000022
000117,000022,000007,000008,000018
000118,000014,000005,000005,000033
000119,000016,000005,000006,000024
000120,000006,000005,000003,000020
000121,000004,000009,000003,000014
000122,000008,000005,000001,000016
000123,000006,000003,000001,000016
000124,000009,000005,000000,000015
000125,000004,000004,000003,000020
000126,000005,000002,000003,000010
000127,000002,000004,000004,000012
000128,000006,000001,000004,000007
000129,000005,000002,000002,000010
000130,000004,000001,000001,000011
000131,000002,000004,000000,000009
000132,000001,000003,000001,000011
000133,000001,000002,000001,000008
000134,000000,000001,000000,000003
000135,000000,000001,000000,000002
000136,000000,000002,000000,000003
000137,000001,000001,000000,000008
000138,000000,000000,000000,000002
000139,000000,000002,000000,000001
000140,000000,000001,000000,000001
000141,000000,000001,000000,000003
000142,000000,000000,000001,000006
000143,000000,000004,000000,000001
000144,000001,000001,000002,000003
000145,000000,000001,000000,000001
000146,000000,000001,000000,000000
000147,000001,000000,000000,000000
000148,000001,000000,000000,000000
000149,000000,000001,000000,000001
000150,000000,000000,000000,000001
000151,000000,000000,000000,000000
000152,000000,000000,000000,000001
000153,000000,000000,000000,000000
000154,000000,000000,000000,000001
000155,000000,000000,000000,000000
000156,000000,000000,000001,000000
000157,000000,000001,000000,000000
000158,000000,000000,000000,000000
000159,000000,000000,000000,000000
000160,000000,000000,000000,000000
000161,000000,000000,000000,000000
000162,000000,000000,000000,000000
000163,000000,000000,000000,000000
000164,000000,000000,000000,000000
000165,000000,000000,000000,000000
000166,000000,000000,000000,000000
000167,000000,000000,000000,000000
000168,000000,000000,000000,000000
000169,000000,000000,000000,000000
000170,000000,000000,000000,000000
