time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000001,000004,000008,000003
000011,018982,006512,014018,000812
000012,104331,085595,090842,029022
000013,163527,205701,159875,120155
000014,200440,318536,231902,207227
000015,375266,399091,323439,376169
000016,553423,571193,465993,630611
000017,856329,870755,710210,833275
000018,1365200,1707246,1271470,1318340
000019,2113850,2791621,1638451,1456804
000020,2721137,3205558,1712008,1339221
000021,2832974,2847899,2094243,1735719
000022,2370988,2002624,2620458,2560044
000023,1574721,1004527,2500189,2811457
000024,878396,470968,1814733,2161916
000025,508246,246588,1083464,1224553
000026,374378,143819,572454,543943
000027,297880,086230,282790,209372
000028,204941,052745,137296,089632
000029,124401,035036,070946,053954
000030,075517,026414,040980,038242
000031,051187,024925,025282,030051
000032,037375,034219,019120,023448
000033,028241,041612,013803,018210
000034,019891,037861,010377,014354
000035,014826,043367,008434,011960
000036,012277,053630,007534,010958
000037,010501,055412,006585,010713
000038,009500,057172,006326,011447
000039,008824,065781,006240,012551
000040,008581,082220,006115,013484
000041,008022,093097,005708,013443
000042,007301,087117,004916,012575
000043,006392,073612,004250,011144
000044,005132,041282,003509,009600
000045,004388,018504,002925,007662
000046,003641,009606,002408,006186
000047,003020,007352,001978,004749
000048,002650,007307,001703,003452
000049,002255,007099,001505,002395
000050,002172,006417,001227,001863
000051,002092,005061,000849,001679
000052,002103,003917,000798,001316
000053,001972,002964,000663,001142
000054,001804,002230,000583,000914
000055,001610,001811,000512,000804
000056,001416,001387,000431,000668
000057,001119,001164,000347,000598
000058,001062,001044,000302,000502
000059,000958,000876,000258,000408
000060,000905,000750,000255,000355
000061,000696,000698,000169,000289
000062,000571,000601,000157,000240
000063,000547,000694,000123,000198
000064,000425,000685,000098,000173
000065,000344,000659,000089,000133
000066,000295,000620,000058,000098
000067,000253,000735,000062,000101
000068,000210,000752,000057,000106
000069,000199,000770,000059,000082
000070,000143,000752,000050,000079
000071,000156,000832,000048,000065
000072,000144,000831,000036,000063
000073,000114,000913,000045,000052
000074,000094,000929,000041,000038
000075,000086,000960,000031,000060
000076,000064,000994,000038,000046
000077,000060,000996,000039,000043
000078,000070,001001,000034,000048
000079,000050,001026,000041,000052
000080,000051,001001,000032,000031
000081,000046,001039,000030,000037
000082,000047,001062,000034,000037
000083,000053,000857,000035,000033
000084,000043,000883,000029,000031
000085,000035,000844,000035,000042
000086,000035,000747,000033,000043
000087,000037,000725,000025,000041
000088,000032,000698,000042,000029
000089,000031,000775,000033,000037
000090,000026,000940,000033,000047
000091,000027,001114,000044,000038
000092,000037,001233,000039,000043
000093,000029,001229,000037,000042
000094,000026,001270,000035,000034
000095,000024,001120,000020,000044
000096,000039,000979,000037,000038
000097,000031,000683,000039,000040
000098,000035,000566,000029,000030
000099,000030,000461,000033,000042
000100,000024,000388,000035,000046
000101,000029,000386,000032,000043
000102,000030,000360,000039,000031
000103,000034,000320,000036,000035
000104,000027,000242,000044,000039
000105,000030,000183,000034,000033
000106,000032,000158,000042,000026
000107,000034,000137,000037,000042
000108,000029,000132,000029,000041
000109,000029,000123,000038,000044
000110,000029,000107,000036,000037
000111,000031,000091,000042,000031
000112,000030,000106,000041,000046
000113,000036,000084,000034,000035
000114,000034,000067,000032,000042
000115,000037,000072,000042,000042
000116,000045,000070,000034,000028
000117,000029,000074,000046,000033
000118,000035,000054,000024,000039
000119,000041,000055,000027,000046
000120,000043,000071,000035,000032
000121,000033,000065,000040,000040
000122,000036,000045,000026,000030
000123,000039,000051,000032,000051
000124,000038,000051,000049,000047
000125,000035,000047,000047,000041
000126,000040,000059,000040,000048
000127,000040,000056,000028,000049
000128,000039,000043,000052,000044
000129,000040,000040,000045,000064
000130,000042,000049,000042,000059
000131,000033,000051,000036,000027
000132,000040,000039,000044,000045
000133,000042,000044,000052,000047
000134,000032,000047,000050,000046
000135,000030,000055,000039,000053
000136,000048,000037,000046,000036
000137,000042,000048,000037,000044
000138,000046,000041,000049,000042
000139,000027,000043,000039,000046
000140,000042,000042,000038,000047
000141,000040,000044,000031,000046
000142,000037,000055,000032,000052
000143,000042,000051,000030,000045
000144,000033,000046,000054,000045
000145,000030,000050,000044,000040
000146,000030,000037,000043,000046
000147,000032,000043,000040,000039
000148,000029,000045,000043,000047
000149,000047,000048,000048,000040
000150,000036,000063,000058,000063
000151,000044,000045,000038,000054
000152,000030,000041,000049,000056
000153,000032,000042,000061,000048
000154,000030,000049,000059,000054
000155,000043,000066,000053,000049
000156,000038,000055,000061,000048
000157,000030,000044,000048,000069
000158,000032,000052,000053,000050
000159,000032,000067,000038,000060
000160,000035,000063,000047,000060
000161,000032,000050,000039,000047
000162,000038,000048,000055,000042
000163,000042,000043,000049,000044
000164,000044,000054,000043,000054
000165,000044,000051,000041,000039
000166,000042,000069,000045,000057
000167,000039,000059,000048,000053
000168,000031,000062,000052,000054
