time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000000,000000,000000,000000
000011,000000,000000,000000,000000
000012,000000,000008,000000,000000
000013,000002,000175,000021,000001
000014,000040,000851,000173,000000
000015,000113,001915,000790,000007
000016,000143,003163,001764,000023
000017,000273,004938,002659,000038
000018,000588,006621,003521,000087
000019,001251,008356,004552,000114
000020,002413,011083,006071,000186
000021,004058,015850,008472,000307
000022,006118,021538,012505,000530
000023,008425,027517,020656,000716
000024,010224,034367,032369,001078
000025,012285,040541,042610,001465
000026,015697,048150,055656,001953
000027,019897,063131,069863,002440
000028,026492,079497,083452,003162
000029,035468,105868,110538,003997
000030,046363,134112,129025,004964
000031,059386,142071,131124,005884
000032,074425,136625,125917,005864
000033,090631,126315,126088,006536
000034,107669,125930,138348,007923
000035,124822,143177,168980,010253
000036,127114,177905,211876,012037
000037,134356,219419,255132,013546
000038,152917,256922,285939,015217
000039,183511,276624,293895,017079
000040,196429,274123,274877,018969
000041,221648,248138,233918,020731
000042,241513,204670,185310,022395
000043,249718,157738,139399,024426
000044,243254,115582,102043,026361
000045,226119,082161,072940,029040
000046,198683,057116,049648,031609
000047,165719,036285,030860,033781
000048,133047,025691,025391,035485
000049,102642,020983,020439,035865
000050,076147,018123,015408,035773
000051,055933,015279,012479,035447
000052,040803,013173,010460,035065
000053,029418,011893,009360,036210
000054,022137,010692,008607,034098
000055,018008,010024,008122,032550
000056,014422,008755,007896,037023
000057,011996,008131,007783,045983
000058,009371,007468,007353,051547
000059,007076,006847,007157,056526
000060,006816,006093,006352,061123
000061,006777,005525,005667,064434
000062,006414,004837,005251,066398
000063,006093,004302,004489,066443
000064,005845,003697,003893,065199
000065,005859,003207,003404,062267
000066,005706,002796,002935,058078
000067,005821,002593,002614,054793
000068,005311,002246,002195,051890
000069,004979,002021,001771,050394
000070,004786,001592,001326,050252
000071,004228,001664,001360,051157
000072,003703,001590,001303,051755
000073,003165,001494,001071,052379
000074,002817,001285,000813,052559
000075,002324,001108,000699,051861
000076,001909,000978,000569,049023
000077,001473,000866,000443,040967
000078,001204,000705,000382,043911
000079,001025,000631,000270,052566
000080,000745,000509,000216,054931
000081,000518,000445,000142,057066
000082,000416,000368,000130,059343
000083,000409,000321,000116,062509
000084,000303,000265,000068,066452
000085,000235,000240,000057,070891
000086,000194,000206,000058,075384
000087,000170,000182,000055,079384
000088,000146,000160,000051,083011
000089,000110,000162,000039,084098
000090,000112,000149,000036,084655
000091,000097,000157,000025,083888
000092,000109,000138,000031,081723
000093,000096,000113,000033,078885
000094,000086,000134,000040,075360
000095,000096,000155,000032,071621
000096,000083,000126,000031,067736
000097,000093,000114,000021,063940
000098,000063,000107,000035,058144
000099,000082,000126,000028,046636
000100,000065,000096,000036,039467
000101,000081,000096,000031,041757
000102,000070,000087,000020,036654
000103,000044,000070,000027,030325
000104,000037,000059,000019,024324
000105,000051,000061,000025,018888
000106,000055,000055,000015,015116
000107,000047,000054,000022,011892
000108,000034,000036,000029,010075
000109,000029,000025,000013,008331
000110,000044,000028,000013,007126
000111,000023,000023,000013,006240
000112,000021,000018,000008,005575
000113,000016,000018,000007,005321
000114,000014,000013,000008,004459
000115,000019,000016,000013,003744
000116,000010,000018,000008,003238
000117,000012,000014,000013,002691
000118,000010,000023,000008,002528
000119,000004,000016,000011,002298
000120,000008,000008,000010,002071
000121,000013,000012,000013,001761
000122,000004,000004,000006,001920
000123,000008,000008,000003,002023
000124,000010,000016,000005,001828
000125,000006,000005,000003,001867
000126,000004,000012,000007,001774
000127,000007,000011,000005,001536
000128,000003,000008,000003,001393
000129,000003,000010,000005,001289
000130,000004,000008,000001,001272
000131,000007,000009,000001,001015
000132,000005,000002,000003,000756
000133,000006,000006,000002,000565
000134,000006,000003,000001,000375
000135,000002,000006,000001,000269
000136,000002,000002,000000,000147
000137,000001,000008,000001,000093
000138,000001,000002,000001,000052
000139,000000,000003,000000,000035
000140,000001,000004,000001,000044
000141,000002,000004,000000,000033
000142,000001,000004,000000,000024
000143,000000,000002,000000,000015
000144,000001,000000,000001,000025
000145,000002,000006,000000,000019
000146,000003,000001,000000,000007
000147,000001,000002,000000,000018
000148,000002,000002,000000,000016
000149,000001,000000,000000,000015
000150,000000,000000,000000,000019
000151,000002,000000,000001,000022
000152,000001,000001,000000,000028
000153,000003,000001,000000,000020
000154,000000,000000,000000,000023
000155,000001,000001,000000,000013
000156,000000,000000,000000,000009
000157,000001,000000,000000,000015
000158,000001,000000,000000,000011
000159,000002,000000,000000,000003
000160,000000,000000,000001,000008
000161,000001,000000,000000,000006
000162,000000,000000,000000,000005
000163,000002,000001,000000,000003
000164,000000,000000,000000,000001
000165,000000,000000,000000,000002
000166,000000,000000,000000,000000
000167,000000,000001,000000,000000
000168,000001,000000,000000,000000
000169,000001,000001,000000,000001
000170,000000,000000,000000,000001
