time,core1,core2,core3,core4
000210,000065,000034,000035,000070
000211,000047,000047,000047,000063
000212,000042,000056,000047,000067
000213,000040,000047,000041,000054
000214,000038,000045,000041,000070
000215,000047,000050,000045,000057
000216,000063,000045,000043,000065
000217,000040,000048,000034,000048
000218,000043,000033,000037,000056
000219,000052,000042,000033,000052
000220,000054,000039,000036,000062
000221,000040,000031,000038,000064
000222,000044,000036,000039,000059
000223,000055,000039,000036,000054
000224,000048,000039,000039,000053
000225,000043,000038,000041,000046
000226,000042,000035,000030,000065
000227,000044,000045,000032,000046
000228,000050,000049,000045,000042
000229,000038,000029,000039,000049
000230,000035,000049,000033,000064
000231,000048,000044,000038,000051
000232,000046,000019,000027,000050
000233,000056,000035,000039,000045
000234,000045,000026,000026,000049
000235,000042,000040,000025,000039
000236,000043,000030,000033,000040
000237,000041,000033,000032,000047
000238,000037,000036,000025,000033
000239,000042,000047,000021,000039
000240,000038,000034,000035,000046
000241,000041,000043,000032,000041
000242,000032,000027,000019,000034
000243,000043,000027,000030,000029
000244,000043,000029,000022,000038
000245,000031,000025,000025,000046
000246,000030,000031,000020,000048
000247,000034,000037,000022,000042
000248,000038,000026,000019,000040
000249,000039,000029,000023,000042
000250,000030,000028,000026,000040
000251,000033,000036,000029,000030
000252,000037,000028,000023,000040
000253,000037,000025,000024,000044
000254,000039,000023,000029,000027
000255,000037,000032,000023,000033
000256,000038,000018,000029,000038
000257,000034,000024,000019,000042
000258,000046,000026,000026,000036
000259,000034,000030,000018,000042
000260,000032,000019,000019,000036
000261,000033,000024,000025,000032
000262,000032,000016,000024,000029
000263,000027,000025,000013,000043
000264,000031,000020,000017,000050
000265,000028,000023,000013,000044
000266,000026,000019,000020,000040
000267,000021,000009,000025,000032
000268,000037,000022,000020,000030
000269,000021,000019,000015,000035
000270,000024,000013,000010,000036
000271,000020,000018,000018,000035
000272,000014,000014,000025,000040
000273,000024,000021,000022,000034
000274,000024,000013,000031,000038
000275,000019,000011,000024,000044
000276,000023,000012,000018,000044
000277,000018,000018,000015,000040
000278,000013,000014,000012,000038
000279,000018,000016,000014,000031
000280,000015,000010,000019,000030
000281,000007,000015,000023,000040
000282,000017,000011,000013,000031
000283,000008,000009,000019,000038
000284,000016,000013,000016,000015
000285,000017,000017,000015,000028
000286,000016,000017,000012,000028
000287,000019,000009,000012,000034
000288,000020,000016,000018,000032
000289,000017,000010,000022,000026
000290,000011,000014,000015,000022
000291,000013,000013,000017,000034
000292,000011,000012,000015,000035
000293,000015,000010,000012,000023
000294,000014,000019,000012,000024
000295,000011,000019,000020,000018
000296,000010,000014,000013,000011
000297,000008,000014,000010,000023
000298,000016,000007,000011,000013
000299,000013,000007,000023,000019
000300,000009,000011,000013,000018
000301,000010,000012,000008,000016
000302,000011,000013,000013,000013
000303,000018,000009,000021,000014
000304,000010,000013,000011,000016
000305,000012,000012,000011,000019
000306,000015,000014,000004,000013
000307,000009,000011,000011,000015
000308,000017,000008,000008,000012
000309,000012,000009,000014,000013
000310,000012,000011,000006,000021
000311,000016,000006,000007,000018
000312,000018,000010,000015,000016
000313,000012,000014,000009,000015
000314,000014,000011,000006,000011
000315,000016,000009,000016,000011
000316,000017,000012,000009,000011
000317,000014,000005,000019,000012
000318,000012,000014,000009,000009
000319,000012,000009,000008,000008
000320,000016,000008,000008,000008
000321,000018,000008,000012,000010
000322,000011,000008,000009,000008
000323,000006,000010,000005,000008
000324,000011,000009,000011,000010
000325,000006,000005,000011,000007
000326,000015,000013,000007,000010
000327,000014,000009,000015,000007
000328,000009,000005,000008,000008
000329,000015,000007,000005,000007
000330,000007,000008,000006,000007
000331,000012,000007,000007,000009
000332,000010,000012,000011,000010
000333,000010,000010,000012,000004
000334,000016,000004,000005,000012
000335,000009,000008,000008,000005
000336,000015,000004,000006,000005
000337,000013,000011,000004,000006
000338,000013,000007,000011,000010
000339,000008,000011,000008,000005
000340,000005,000008,000004,000009
000341,000007,000001,000005,000007
000342,000010,000005,000014,000004
000343,000007,000006,000005,000007
000344,000013,000008,000006,000003
000345,000009,000010,000006,000006
000346,000009,000006,000008,000013
000347,000005,000009,000007,000009
000348,000007,000006,000009,000007
000349,000007,000008,000005,000004
000350,000009,000007,000008,000005
000351,000009,000006,000001,000005
000352,000011,000005,000008,000005
000353,000004,000004,000003,000010
000354,000006,000005,000004,000005
000355,000008,000007,000005,000007
000356,000004,000009,000010,000005
000357,000011,000001,000007,000008
000358,000013,000007,000008,000005
000359,000007,000005,000003,000007
000360,000011,000007,000002,000005
000361,000010,000005,000003,000007
000362,000012,000004,000005,000006
000363,000009,000005,000000,000007
000364,000004,000007,000004,000005
000365,000005,000006,000004,000009
000366,000002,000003,000007,000008
000367,000004,000002,000004,000013
000368,000008,000003,000004,000012
000369,000002,000003,000002,000006
000370,000005,000001,000000,000008
000371,000005,000005,000005,000007
000372,000008,000004,000003,000011
000373,000003,000006,000006,000012
000374,000004,000003,000002,000008
000375,000006,000003,000007,000012
000376,000002,000004,000003,000011
000377,000003,000000,000006,000012
000378,000003,000001,000007,000017
000379,000004,000003,000006,000008
000380,000007,000006,000004,000012
000381,000005,000006,000004,000010
000382,000004,000003,000005,000013
000383,000000,000004,000003,000013
000384,000004,000002,000010,000015
000385,000001,000003,000008,000007
000386,000004,000003,000009,000016
000387,000005,000003,000003,000018
000388,000001,000002,000005,000016
000389,000002,000000,000002,000008
000390,000003,000001,000003,000016
000391,000004,000002,000009,000015
000392,000006,000004,000007,000011
000393,000002,000005,000005,000011
000394,000003,000002,000002,000006
000395,000002,000002,000002,000009
000396,000001,000003,000004,000011
000397,000001,000002,000008,000005
000398,000005,000004,000001,000009
000399,000002,000002,000001,000012
000400,000002,000001,000004,000012
000401,000003,000002,000003,000018
000402,000003,000005,000008,000010
000403,000003,000006,000003,000011
000404,000002,000002,000004,000012
000405,000001,000003,000004,000011
000406,000002,000002,000002,000001
000407,000005,000004,000001,000005
000408,000001,000004,000004,000009
000409,000004,000005,000001,000005
000410,000002,000002,000001,000004
000411,000002,000003,000003,000007
000412,000004,000004,000001,000011
000413,000000,000005,000003,000009
000414,000004,000003,000003,000009
000415,000004,000001,000003,000005
000416,000002,000005,000006,000001
000417,000004,000001,000002,000003
000418,000001,000005,000002,000003
000419,000003,000004,000001,000004
000420,000002,000004,000008,000003
000421,000004,000003,000002,000007
000422,000002,000001,000002,000003
000423,000004,000001,000000,000004
000424,000002,000003,000001,000004
000425,000002,000001,000002,000003
000426,000001,000004,000001,000006
000427,000000,000002,000000,000000
000428,000000,000002,000005,000005
000429,000003,000003,000005,000002
000430,000003,000002,000001,000004
000431,000002,000004,000001,000003
000432,000003,000001,000002,000000
000433,000001,000001,000003,000004
000434,000004,000001,000005,000002
000435,000003,000002,000001,000006
000436,000002,000005,000000,000005
000437,000003,000000,000000,000007
000438,000003,000002,000000,000002
000439,000004,000002,000000,000002
000440,000000,000000,000002,000001
000441,000001,000002,000003,000002
000442,000005,000003,000001,000005
000443,000001,000004,000000,000002
000444,000001,000002,000000,000002
000445,000001,000002,000000,000003
000446,000002,000001,000000,000003
000447,000001,000002,000001,000004
000448,000001,000005,000002,000000
000449,000001,000001,000000,000002
000450,000001,000001,000000,000002
000451,000001,000000,000001,000001
000452,000002,000001,000002,000001
000453,000004,000000,000000,000004
000454,000003,000000,000000,000002
000455,000001,000001,000000,000004
000456,000003,000000,000001,000001
000457,000002,000001,000000,000001
000458,000001,000000,000000,000000
000459,000002,000000,000001,000001
000460,000000,000001,000001,000001
000461,000000,000001,000000,000003
000462,000004,000001,000001,000004
000463,000001,000000,000000,000001
000464,000000,000000,000001,000004
000465,000001,000000,000000,000001
000466,000000,000000,000000,000004
000467,000002,000000,000000,000001
000468,000003,000002,000001,000001
000469,000001,000000,000000,000001
000470,000000,000001,000000,000001
000471,000003,000000,000000,000002
000472,000001,000000,000002,000002
000473,000001,000001,000000,000000
000474,000000,000000,000002,000000
000475,000001,000001,000000,000002
000476,000000,000001,000001,000000
000477,000002,000000,000000,000000
000478,000000,000001,000002,000003
000479,000001,000000,000000,000001
000480,000002,000001,000000,000002
000481,000000,000001,000000,000000
000482,000002,000000,000000,000000
000483,000001,000000,000003,000001
000484,000000,000000,000000,000000
000485,000000,000000,000001,000000
000486,000000,000000,000000,000001
000487,000000,000000,000000,000001
000488,000001,000001,000000,000000
000489,000001,000002,000000,000000
000490,000001,000000,000000,000000
000491,000000,000001,000001,000001
000492,000001,000002,000001,000002
000493,000002,000001,000000,000001
000494,000001,000000,000001,000000
000495,000001,000003,000002,000000
000496,000001,000000,000003,000000
000497,000004,000001,000001,000002
000498,000001,000000,000003,000001
000499,000004,000000,000000,000001
