time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000001
000010,002382,000028,000028,004449
000011,210863,213840,250132,255395
000012,1093291,766642,1077191,985707
000013,1652736,1157730,1224592,1081077
000014,2126254,1458138,1487895,1249037
000015,2394568,1450760,1669863,1771752
000016,4877449,1757994,2633433,2529614
000017,12349906,4242849,5626415,4040574
000018,8313041,8088591,8257671,7280781
000019,2071236,7743342,7388869,7712873
000020,402117,4854185,4154224,5114998
000021,127780,2099095,1375770,2330921
000022,072893,668850,361085,826540
000023,052781,233861,124802,316182
000024,039184,143015,066210,133953
000025,030926,183789,044128,075995
000026,024324,228745,033491,051712
000027,019093,193674,027020,039744
000028,014834,143549,023165,031846
000029,012371,097647,019706,026967
000030,011998,068045,017240,022748
000031,011888,044533,016030,019323
000032,011827,031781,014864,017386
000033,010838,025968,013957,015944
000034,009388,019909,012059,015054
000035,008006,016520,010022,012420
000036,006182,014462,008373,009764
000037,004911,012761,007061,007247
000038,003946,010103,006249,005119
000039,003100,007798,005748,003555
000040,002537,005923,005484,002586
000041,002325,004198,005574,001989
000042,002262,003139,005403,001387
000043,002342,002272,004811,001104
000044,002508,001483,004016,000809
000045,002771,001002,003319,000593
000046,002670,000673,002755,000473
000047,002508,000516,002191,000357
000048,002149,000399,001689,000301
000049,001782,000324,001236,000215
000050,001355,000313,001044,000160
000051,001026,000249,000846,000155
000052,000826,000220,000697,000082
000053,000719,000144,000652,000070
000054,000462,000145,000509,000058
000055,000338,000128,000407,000039
000056,000223,000087,000296,000036
000057,000181,000072,000224,000027
000058,000132,000056,000186,000029
000059,000125,000051,000136,000026
000060,000081,000025,000122,000014
000061,000089,000018,000086,000016
000062,000061,000022,000076,000012
000063,000060,000016,000066,000008
000064,000050,000014,000069,000005
000065,000034,000007,000044,000003
000066,000033,000012,000041,000004
000067,000029,000010,000038,000000
000068,000028,000009,000032,000003
000069,000023,000006,000022,000003
000070,000018,000010,000013,000002
000071,000020,000003,000017,000001
000072,000015,000007,000015,000001
000073,000018,000002,000014,000002
000074,000009,000004,000011,000002
000075,000008,000003,000013,000008
000076,000007,000002,000009,000005
000077,000003,000003,000013,000002
000078,000010,000002,000010,000000
000079,000006,000003,000010,000004
000080,000006,000002,000018,000001
000081,000005,000001,000012,000004
000082,000003,000002,000007,000003
000083,000003,000001,000007,000001
000084,000001,000000,000008,000003
000085,000003,000002,000002,000002
000086,000003,000000,000006,000002
000087,000001,000002,000004,000000
000088,000003,000000,000003,000001
000089,000002,000000,000001,000002
000090,000002,000001,000001,000000
000091,000004,000000,000000,000001
000092,000002,000000,000001,000000
000093,000003,000000,000001,000001
000094,000001,000000,000001,000001
000095,000000,000000,000000,000001
000096,000000,000000,000000,000000
000097,000000,000000,000000,000000
000098,000000,000000,000000,000000
000099,000000,000000,000000,000000
000100,000000,000000,000000,000000
000101,000000,000000,000000,000000
000102,000000,000000,000000,000000
000103,000000,000000,000000,000000
000104,000000,000000,000000,000000
000105,000000,000000,000000,000000
000106,000000,000000,000000,000000
000107,000001,000000,000000,000000
000108,000000,000000,000000,000000
000109,000000,000000,000000,000000
000110,000000,000000,000000,000000
000111,000000,000000,000000,000000
000112,000000,000000,000000,000000
000113,000000,000000,000000,000000
000114,000000,000000,000000,000000
000115,000000,000000,000000,000000
000116,000000,000000,000000,000000
000117,000000,000000,000000,000000
000118,000000,000000,000000,000000
000119,000000,000000,000000,000000
000120,000000,000000,000000,000000
000121,000000,000000,000000,000000
000122,000000,000000,000000,000000
000123,000000,000000,000000,000000
000124,000000,000000,000000,000000
000125,000000,000000,000000,000000
000126,000000,000000,000000,000000
000127,000000,000000,000000,000000
000128,000000,000000,000000,000000
000129,000000,000000,000000,000000
000130,000000,000000,000000,000000
000131,000000,000000,000000,000000
000132,000000,000000,000000,000000
000133,000000,000000,000000,000000
000134,000000,000000,000000,000000
000135,000000,000000,000000,000000
000136,000000,000000,000000,000000
000137,000000,000000,000000,000000
000138,000000,000000,000000,000000
000139,000000,000000,000000,000000
000140,000000,000000,000000,000000
000141,000000,000000,000000,000000
000142,000000,000000,000000,000000
000143,000000,000000,000000,000000
000144,000000,000000,000000,000000
000145,000000,000000,000000,000000
000146,000000,000000,000000,000000
000147,000000,000000,000000,000000
000148,000000,000000,000000,000000
000149,000000,000000,000000,000000
000150,000000,000000,000000,000000
000151,000000,000000,000000,000000
000152,000000,000000,000000,000000
000153,000000,000000,000000,000000
000154,000000,000000,000000,000000
000155,000000,000000,000000,000000
000156,000000,000000,000000,000000
000157,000000,000000,000000,000000
000158,000000,000000,000000,000000
000159,000000,000000,000000,000000
000160,000000,000000,000000,000000
000161,000000,000000,000000,000000
000162,000000,000000,000000,000000
000163,000000,000000,000000,000000
000164,000000,000000,000000,000000
000165,000000,000000,000000,000000
000166,000000,000000,000000,000000
000167,000000,000000,000000,000000
